seed,sigma_pb,reported_integration_error_pb,relative_reported_error,run_path,run_timestamp,runtime_seconds,pack_a_zip_sha256,events,final_h2_count,nonfinal_h2_count,four_momentum_residual_gev,exit_status,classification
42073,0.0235,0.0001768,0.007523404255319149,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_42073/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182003Z_seed42073,20260722T182003Z,26.855469071000698,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
46264,0.02354,0.0001386,0.00588785046728972,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_46264/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182506Z_seed46264,20260722T182506Z,25.57091622400185,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
46293,0.0235,0.0001417,0.0060297872340425536,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_46293/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182054Z_seed46293,20260722T182054Z,26.436992132999876,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
47153,0.02319,0.000142,0.006123329021129798,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_47153/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182145Z_seed47153,20260722T182145Z,26.515759561996674,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
57351,0.02358,0.0002015,0.00854537743850721,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_57351/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182555Z_seed57351,20260722T182555Z,26.263620142002765,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
58734,0.02369,0.0001369,0.005778809624314056,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_58734/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182324Z_seed58734,20260722T182324Z,26.174709017999703,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
58836,0.02361,0.0001395,0.005908513341804321,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_58836/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182259Z_seed58836,20260722T182259Z,25.8675526779989,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
59807,0.02363,0.0002084,0.00881929750317393,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_59807/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182620Z_seed59807,20260722T182620Z,25.671450671005005,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
62457,0.02371,0.0001395,0.00588359342049768,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_62457/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181613Z_seed62457,20260722T181613Z,27.052854011002637,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
62538,0.02347,0.0002238,0.009535577332765232,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_62538/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181521Z_seed62538,20260722T181521Z,26.766552073997445,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
63829,0.02359,0.0001423,0.006032217041119118,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_63829/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182029Z_seed63829,20260722T182029Z,25.731461858995317,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
64838,0.02359,0.0001436,0.006087325137770242,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_64838/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181910Z_seed64838,20260722T181910Z,26.179136099999596,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
67890,0.02356,0.0001374,0.005831918505942275,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_67890/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181453Z_seed67890,20260722T181453Z,29.27701622099994,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
76379,0.0234,0.0001425,0.006089743589743589,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_76379/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182210Z_seed76379,20260722T182210Z,25.11219532499672,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
81786,0.02357,0.0001419,0.006020364870598218,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_81786/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181336Z_seed81786,20260722T181336Z,26.28839518699533,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
84503,0.02357,0.0001375,0.005833686890114553,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_84503/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181639Z_seed84503,20260722T181639Z,26.0638794530023,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
85818,0.02351,0.0001695,0.007209698000850702,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_85818/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181936Z_seed85818,20260722T181936Z,27.619371780005167,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
91014,0.02355,0.0001406,0.005970276008492569,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_91014/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182235Z_seed91014,20260722T182235Z,25.174987210004474,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
92700,0.02323,0.0001429,0.006151528196297891,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_92700/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182350Z_seed92700,20260722T182350Z,25.836092470002768,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
96506,0.02357,0.0001922,0.008154433602036487,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_96506/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181846Z_seed96506,20260722T181846Z,25.44343195900001,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
