delta_E_GeV,delta_mass_GeV,delta_pt_GeV,delta_pt_relative,delta_px_GeV,delta_py_GeV,delta_pz_GeV,event,h2_ordinal,mode
0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,D0
0.0,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,44,1,D0
-1.1368683772161603e-13,-2.8421709430404007e-13,2.842170943040401e-14,1.4307613867982706e-16,-2.842170943040401e-14,-3.552713678800501e-15,0.0,45,0,D0
0.0,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,45,1,D0
2.842170943040401e-14,2.842170943040401e-14,1.4210854715202004e-14,1.5712599495151755e-16,7.105427357601002e-15,1.4210854715202004e-14,0.0,46,0,D0
0.0,-2.842170943040401e-14,1.4210854715202004e-14,1.5712599495151755e-16,-1.4210854715202004e-14,-1.4210854715202004e-14,2.842170943040401e-14,46,1,D0
0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,47,0,D0
2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,-7.105427357601002e-15,0.0,8.881784197001252e-16,47,1,D0
-5.684341886080802e-14,1.7053025658242404e-13,-2.842170943040401e-14,-2.0261057048437046e-16,-2.842170943040401e-14,-1.4210854715202004e-14,1.1368683772161603e-13,48,0,D0
-5.684341886080802e-14,-5.684341886080802e-14,0.0,0.0,0.0,0.0,2.842170943040401e-14,48,1,D0
-2.842170943040401e-14,-2.842170943040401e-14,-7.105427357601002e-15,-1.9564964182151964e-16,-7.105427357601002e-15,0.0,0.0,49,0,D0
-5.684341886080802e-14,-5.684341886080802e-14,-1.4210854715202004e-14,-3.912992836430393e-16,7.105427357601002e-15,3.552713678800501e-15,0.0,49,1,D0
2.842170943040401e-14,5.684341886080802e-14,1.4210854715202004e-14,1.427926536015224e-16,7.105427357601002e-15,-1.4210854715202004e-14,-7.105427357601002e-15,50,0,D0
0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0,1.4210854715202004e-14,50,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,D0
0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,51,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0,D0
0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0,2.842170943040401e-14,52,1,D0
-2.842170943040401e-14,-2.842170943040401e-14,0.0,0.0,-7.105427357601002e-15,0.0,0.0,53,0,D0
-2.842170943040401e-14,0.0,0.0,0.0,7.105427357601002e-15,0.0,1.3322676295501878e-15,53,1,D0
-5.684341886080802e-14,-2.5579538487363607e-13,0.0,0.0,0.0,3.3306690738754696e-16,-5.684341886080802e-14,54,0,D0
0.0,0.0,0.0,0.0,0.0,-3.3306690738754696e-16,0.0,54,1,D0
0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,55,0,D0
0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,-7.105427357601002e-15,55,1,D0
1.1368683772161603e-13,0.0,0.0,0.0,0.0,2.6645352591003757e-15,1.1368683772161603e-13,56,0,D0
0.0,0.0,0.0,0.0,0.0,4.440892098500626e-15,0.0,56,1,D0
2.842170943040401e-14,5.684341886080802e-14,0.0,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,57,0,D0
2.842170943040401e-14,2.842170943040401e-14,1.4210854715202004e-14,2.1053239819941027e-16,0.0,-7.105427357601002e-15,-1.4210854715202004e-14,57,1,D0
0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,58,0,D0
0.0,-5.684341886080801e-13,1.4210854715202004e-14,1.2447240806346674e-16,3.552713678800501e-15,-1.4210854715202004e-14,1.1368683772161603e-13,58,1,D0
2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,0.0,7.105427357601002e-15,0.0,59,0,D0
2.842170943040401e-14,5.684341886080802e-14,1.4210854715202004e-14,2.22747907420876e-16,-7.105427357601002e-15,7.105427357601002e-15,1.9984014443252818e-15,59,1,D0
0.0,0.0,-1.4210854715202004e-14,-3.972264817838665e-16,1.7763568394002505e-15,1.4210854715202004e-14,0.0,60,0,D0
0.0,5.684341886080801e-13,1.4210854715202004e-14,3.972264817838665e-16,1.7763568394002505e-15,1.4210854715202004e-14,-1.1368683772161603e-13,60,1,D0
1.1368683772161603e-13,5.968558980384842e-13,0.0,0.0,0.0,-7.105427357601002e-15,0.0,61,0,D0
0.0,-5.968558980384842e-13,0.0,0.0,0.0,7.105427357601002e-15,-1.1368683772161603e-13,61,1,D0
0.0,5.684341886080801e-13,1.4210854715202004e-14,1.1216722657965673e-16,0.0,-1.4210854715202004e-14,-1.1368683772161603e-13,62,0,D0
-5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,62,1,D0
0.0,0.0,-2.842170943040401e-14,-2.1797152108212968e-16,0.0,-1.4210854715202004e-14,0.0,63,0,D0
5.684341886080802e-14,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,63,1,D0
0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,1.4210854715202004e-14,64,0,D0
-5.684341886080802e-14,-2.842170943040401e-14,0.0,0.0,0.0,-3.552713678800501e-15,-2.842170943040401e-14,64,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0,D0
0.0,0.0,1.4210854715202004e-14,1.4048073483625672e-16,0.0,1.4210854715202004e-14,0.0,65,1,D0
5.684341886080802e-14,8.526512829121202e-14,2.842170943040401e-14,1.2708700626075916e-16,0.0,2.842170943040401e-14,-2.842170943040401e-14,66,0,D0
0.0,-2.842170943040401e-14,2.842170943040401e-14,1.2708700626075916e-16,2.842170943040401e-14,0.0,1.7763568394002505e-15,66,1,D0
-5.684341886080802e-14,-5.684341886080802e-14,0.0,0.0,2.6645352591003757e-15,0.0,1.4210854715202004e-14,67,0,D0
0.0,2.842170943040401e-14,-2.842170943040401e-14,-1.6677119715439735e-16,-2.6645352591003757e-15,2.842170943040401e-14,-7.105427357601002e-15,67,1,D0
0.0,5.684341886080802e-14,-1.4210854715202004e-14,-1.5242679524184412e-16,1.4210854715202004e-14,0.0,0.0,68,0,D0
5.684341886080802e-14,8.526512829121202e-14,0.0,0.0,0.0,0.0,0.0,68,1,D0
0.0,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,1.1368683772161603e-13,69,0,D0
0.0,1.1368683772161603e-13,-5.684341886080802e-14,-1.815097030046857e-16,-1.4210854715202004e-14,5.684341886080802e-14,0.0,69,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,0,D0
0.0,0.0,-2.842170943040401e-14,-2.0114802554675568e-16,0.0,1.4210854715202004e-14,0.0,70,1,D0
0.0,8.526512829121202e-14,0.0,0.0,0.0,0.0,-5.684341886080802e-14,71,0,D0
0.0,0.0,2.842170943040401e-14,1.278032412596574e-16,-2.842170943040401e-14,0.0,0.0,71,1,D0
-1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,72,0,D0
-2.2737367544323206e-13,0.0,-2.842170943040401e-14,-1.7360498672242842e-16,3.552713678800501e-15,-2.842170943040401e-14,2.2737367544323206e-13,72,1,D0
0.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,3.552713678800501e-15,73,0,D0
0.0,0.0,0.0,0.0,5.329070518200751e-15,0.0,0.0,73,1,D0
0.0,-2.842170943040401e-14,2.842170943040401e-14,2.0976844865295866e-16,1.4210854715202004e-14,-1.4210854715202004e-14,-7.105427357601002e-15,74,0,D0
0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,74,1,D0
0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,75,0,D0
-1.1368683772161603e-13,-4.263256414560601e-13,0.0,0.0,0.0,0.0,0.0,75,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,0,D0
0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,76,1,D0
5.684341886080802e-14,1.1368683772161603e-13,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,77,0,D0
